sample_id,input_modality,conversation_type,user_context,sender_context,group_context,business_context,historical_behavior,safety_signals,urgency_signals,personal_relevance,interruption_cost,media_signals,expected_action,expected_message_type,expected_confidence,expected_evidence_ids,why_action_plausible,alternative_considered,why_alternative_lost,reusable_principle,ambiguity
sample_msg_012,text,group,u_025,u_048 (peer),group_014 (local food/193 members),none,message_0012 (dismissed),none,weekend pickup possible,secondhand item relevant,local marketplace group,none,digest,promotion,0.84,message_0012,"Potentially relevant offer but weekend window is not urgent. User can decide later.","notify","Possible time-sensitivity of item availability","Weekend availability secondhand item = digest","LOW"
sample_msg_013,text,group,u_001,u_051,group_001 (family/14 members),none,"message_0013, message_0014 (dismissed multiple)",chain_forward pattern,forwarded blessing/chain message (6x),low personal relevance,family group,none,mute,greeting,0.85,"message_0013;message_0014","Pattern: user dismisses repeated forwards from this sender. Forwarding language.","digest","History shows user consistently dismisses these; high forward count","Repeated forward sender dismissed by user = mute","LOW"
sample_msg_014,text,group,u_006,u_051,group_008 (extended family/24 members),none,"message_0015, message_0016 (dismissed)",health misinformation forward (11x),health advice forward,low personal relevance,family group,none,mute,forward,0.83,"message_0015;message_0016","Highly forwarded health advice from pattern-forward sender. User dismissed similar.","digest","High forward count + history of dismissals from same sender","Health forward + high chain + user dismissal history = mute","LOW"
sample_msg_015,text,business,u_007,business_094 (new food delivery),none,business_094 (verified delivery),message_0017 dismissed; message_0018 muted_after,none,"50% welcome offer, fake urgency (""might expire soon"")",user opted out/dismissed,new user promo,none,mute,promotion,0.81,"message_0017;message_0018","User previously dismissed or muted similar offers. Opt-out present.","digest","Business is verified but user rejected similar before","User opted out of similar promo = mute","LOW"
sample_msg_019,text,group,u_009,u_049,group_005 (marketplace/241 members),none,message_0023 (reported),otp_request + account_block_threat + suspicious_link,OTP leak alert with suspicious link,none - scam content,high (marketplace),none,mute,scam,0.81,message_0023,"OTP phishing in suspicious domain. User previously reported similar. Clear scam pattern.","notify","Language uses urgency but content is pure credential theft","OTP request + suspicious domain + account-block threat = mute scam","LOW — near-certain scam"
sample_msg_020,text,group,u_005,u_050,group_005 (marketplace/241 members),none,message_0024 (reported),account_block_threat + credential_request,profile lock in 2 hours,none - scam content,high (marketplace),none,mute,scam,0.87,message_0024,"Classic fake support scam. Account-block pressure + OTP request from group chat.","notify","Urgency language but content is credential theft","Fake support + block threat + password request = mute scam","LOW"
sample_msg_041,voice,group,u_024,u_041 (trusted contact),group_008 (extended family/24 members),none,message_0046 (opened slow),none,no urgent action identified (inferred from digest label),personal voice message,family group,none,digest,personal,0.82,message_0046,"Trusted sender voice note without urgency. User opened but slow reaction time.","notify","Trusted sender but no urgent action identified","Trusted sender voice + no urgency = digest","HIGH — content of voice unknown; routing is confidence-reduced"
sample_msg_042,voice,group,u_028,u_041 (close contact),group_008 (extended family/24 members),none,message_0047 (opened+replied fast),none,short urgent request (inferred),close contact direct,family group,none,notify,urgent,0.87,message_0047,"Close contact voice, user responded rapidly to similar in history. Inferred urgency.","digest","History: user opened AND replied fast to similar from this sender","Close contact + fast historical response pattern = notify","HIGH — voice content not verified; inference from history"
sample_msg_043,voice,business,u_040,business_098 (verified),none,business_098 (verified),message_0048 (dismissed+muted),none,marketing spam (inferred),user muted after similar,business promo,none,mute,spam,0.81,message_0048,"User previously muted after receiving similar. Business voice promo dismissed.","digest","User explicitly muted after similar message","User dismissed+muted after previous similar business voice = mute","MEDIUM — voice content inferred; label based on behavioral history"
sample_msg_044,image,group,u_032,u_048 (peer),group_005 (marketplace/241 members),none,message_0049 (opened slow),none,promotion image for kurta set,user interested but not urgent,marketplace group,img_008,digest,promotion,0.84,message_0049,"Image marketplace promo. User's history shows slow opens. Not urgent.","notify","No immediate deadline; item can wait","Marketplace promo with historical slow engagement = digest","LOW"
sample_msg_045,image,group,u_033,u_048 (peer),group_005 (marketplace/241 members),none,message_0050 (dismissed+muted),none,same kurta promotion image,different user - dismissed similar,marketplace group,img_008,mute,promotion,0.85,message_0050,"SAME message content (img_008) as sample_044 but different user (u_033) who dismissed+muted similar.","digest","User u_033 explicitly dismissed and muted after this type of content","Same content, different user history = different action (mute vs digest)","LOW — key personalization principle"
sample_msg_046,image,group,u_006,u_045 (admin),group_003 (school/96 members),none,message_0051 (opened+replied),none,school circular with time and consent note,admin-sent school circular,school parent group,img_011,notify,event,0.87,message_0051,"Admin school circular. User has child in school. Image likely contains actionable content.","digest","Admin + school circular + consent note + user's active school membership","Admin school circular with image + user with active child enrollment = notify","LOW"
sample_msg_047,image+text,business,u_007,business_011 (Myntra),none,business_011 (Myntra - verified fashion),message_0052 (dismissed+muted),none,shopping offer promo image,user opted out of Myntra promos,fashion promo with image,img_010,mute,promotion,0.81,message_0052,"User previously dismissed and muted after similar Myntra promos. Opted out.","digest","Business is verified but user explicitly muted similar before","Verified business but user opted out of this category = mute","LOW"
sample_msg_048,image+text,business,u_009,business_091 (Hoop brand),none,business_091 (verified),message_0053 (opened slow),none,safety advisory image,no urgency - informational,verified business advisory,img_026,digest,business_update,0.84,message_0053,"Verified business legitimate safety advisory. No action required now.","notify","No deadline. Safety advisory is informational, not emergency.","Verified business informational advisory without deadline = digest","LOW"
sample_msg_049,text,personal,u_021,u_049 (unknown),none,none,none,none,unfamiliar sender question without urgency,unfamiliar volunteer question,no history,none,digest,unknown,0.82,none,"Unknown sender, no safety risk, no urgency, polite request. Confidence reduced.","mute","No safety signals — unknown but polite","Unknown sender + no urgency + no risk = digest (not mute, not notify)","MEDIUM — could be mute if unknown sender policy applied strictly"
sample_msg_050,text,personal,u_001,u_041 (trusted),none,none,message_0054 (opened),none,nothing urgent,trusted family contact,personal from trusted contact,none,digest,personal,0.80,message_0054,"Trusted sender, no urgency stated, casual update.","notify","Explicitly says 'nothing urgent'","Trusted sender + explicit no urgency = digest","LOW"
sample_msg_051,text,personal,u_004,u_046 (coworker),none,none,message_0055 (opened+replied fast),none,"retry count crossed threshold, escalation in 20 mins",direct urgent work request,coworker work emergency,none,notify,urgent,0.85,message_0055,"Work emergency from regular contact with hard deadline. User responds fast to similar.","digest","Explicit deadline + user history of fast response to same sender","Work emergency + explicit escalation deadline + fast responder history = notify","LOW"
sample_msg_052,text,personal,u_028,u_049 (new/unknown),none,none,none,otp_request + account_block_threat,first message from sender requesting login code,none,no history,none,mute,scam,0.87,none,"First message from unknown sender asking for 6-digit login code. Classic phishing.","notify","No relationship, first contact, credential request = immediate mute","First contact + credential request = mute scam (regardless of urgency language)","LOW"
sample_msg_053,text,personal,u_009,u_050 (unknown),none,none,message_0056 (reported),otp_request + routing_override + account_block_threat,"Explicit router instruction + OTP wallet request",adversarial instruction content,no trust,none,mute,scam,0.85,message_0056,"Contains explicit router instruction (injection attempt) AND OTP/wallet fraud. Dual threat.","notify","Router override attempt + OTP theft attempt = definitive mute scam","Prompt injection + credential theft = mute scam (deterministic rule)","LOW"
